date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap
2025-08-08,2059,川湖,2960.0,901923.0,26.7,2609.11,2319.44,2089.63,surge,2025-07-18,15,0.725,A,282079416000
2025-08-11,2059,川湖,3180.0,540227.0,17.18,2663.48,2347.66,2107.65,surge,2025-08-11,0,0.798,A,303044778000
2025-08-11,1303,南亞,46.25,168198458.0,77.79,36.36,32.99,32.91,gap,2025-08-11,0,0.73,A,366800499000
2025-08-11,2345,智邦,1080.0,4732042.0,51.11,888.25,802.96,746.47,gap,2025-08-11,0,0.775,A,606007332000
2025-08-11,2308,台達電,688.0,12689479.0,87.3,574.83,494.52,449.94,gap,2025-08-11,0,0.792,A,1787109790400
2025-08-11,2383,台光電,1305.0,3826361.0,49.93,1083.82,942.3,818.15,gap,2025-08-11,0,0.796,A,467609035500
2025-08-11,2404,漢唐,1105.0,1603048.0,17.71,830.95,704.81,613.26,gap,2025-08-11,0,0.714,A,210598303500
2025-08-11,2368,金像電,478.5,11951824.0,57.19,368.16,317.95,281.5,gap,2025-08-11,0,0.724,A,244288078650
2025-08-11,2317,鴻海,210.0,73566364.0,154.49,180.81,168.84,166.71,gap,2025-08-11,0,0.828,A,2940714672000
2025-08-11,6669,緯穎,3425.0,977812.0,33.49,2763.45,2573.18,2422.93,gap,2025-08-11,0,0.763,A,636504740000
2025-08-11,2449,京元電子,141.0,24863616.0,35.06,120.04,111.01,107.49,surge,2025-08-08,1,0.804,A,172407059100
